AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Thorsten Feiweier; Hongjiang Wei; Olivier Beuf; Pierre Croisille; Benedicte M Delattre; Magalie Viallon; Kevin Moulin; Benjamin Robert,intravoxel incoherent motion; medicine; in vivo; breathing; reproducibility; radiology,2015,Journal,Journal of Cardiovascular Magnetic Resonance,10.1186/1532-429X-17-S1-P383,In vivo free-breathing DTI & IVIM of the whole human heart using a real-time slice-followed SE-EPI navigator-based sequence: a reproducibility study in healthy volunteers
Natalia Ortúzar,chemistry; organic chemistry; reproducibility; bioinformatics; knowledge management; text mining,2016,Journal,ChemMedChem,10.1002/cmdc.201600110,Pulling Together as a Community to Ensure the Quality of the Literature.
Alejandrina Cristia; Elika Bergelson; Melissa Kline; Daniel Yurovsky; Sandra R. Waxman; Claartje Levelt; Robin Panneton; Caroline Floccia; Erin E. Hannon; M. Frank; Casey Lew-Williams; J. Kiley Hamlin; Hugh Rabagliati; Jessica Sullivan; Melanie Soderstrom; Judit Gervain; Christina Bergmann; Thierry Nazzi,preprint; scientific progress; psychological research; cognition; applied psychology; developmental psychology; best practice; psychology; reproducibility,2017,Journal,Infancy,10.1111/infa.12182,"A Collaborative Approach to Infant Research: Promoting Reproducibility, Best Practices, and Theory-Building"
K M Leyland; T Spector; M K Javaid; K Arden; A Judge; D Hart; N Bottomley,medicine; osteoarthritis; physical therapy; reproducibility,2011,Journal,Osteoarthritis and Cartilage,10.1016/S1063-4584(11)60434-2,A COMPARISON OF FOUR RADIOGRAPHIC SCORING METHODS FOR KNEE OSTEOARTHRITIS - SHORT AND MEDIUM TERM REPRODUCIBILITY
Valentín Viqueira; Begoña Domenech; Silvia Vidal; David Mas,cornea; medicine; coefficient of variation; optics; reproducibility; correlation coefficient; standard deviation; repeatability,2013,Journal,Clinical and Experimental Optometry,10.1111/cxo.12002,Repeatability and reproducibility of corneal thickness using SOCT Copernicus HR
Fabrizio Calliada; Carolina Dellafiore; Carmine Tinelli; Alice Chandra Verticchio Vercellin; Carlo Alberto Cutolo; Annalisa De Silvestri; Massimiliano Lava; Giovanni Milano,blood flow; glaucoma; radiology; medicine; reproducibility; doppler imaging; pathology,2016,Journal,Journal of Ultrasound,10.1007/s40477-016-0194-5,Inter-device reproducibility of retrobulbar blood flow velocity measurements in healthy subjects using color Doppler imaging.
K. K. Haratz; Luciano Marcondes Machado Nardozza; E. Q. Barreto; L. C. Rolo; P. M. Nowak; A. F. Moron; H. Milani; E. Araujo Junior,reproducibility; medicine; fetus; radiology; pathology,2010,Journal,Ultrasound in Obstetrics & Gynecology,10.1002/uog.8404,P08.04: Reproducibility of fetal heart volume by 3D sonography using the XI VOCAL method
Daniel Beverungen; Hanns-Alexander Dietrich; Hans Peter Rauer; JÃ¶rg Becker; Dominic Breuker,marketing; empirical research; data envelopment analysis; operations management; business; reproducibility; management science; scientometrics; tertiary sector of the economy,2013,Journal,International Journal of Services and Operations Management,10.1504/IJSOM.2013.056796,Guidelines for reporting productivity studies – a review of the reproducibility of data envelopment analysis in the service sector
Linda Heijmen; Paul N. Span; Edwin ter Voert; Johan Bussink; Johannes H. W. de Wilt; Fred C.G.J. Sweep; Cornelis J. A. Punt; Arend Heerschap; Hanneke W. M. van Laarhoven; Iris D. Nagtegaal,reproducibility; clinical practice; histopathology; colorectal cancer; pathology; medicine; radiology,2013,Journal,European Radiology,10.1007/s00330-012-2654-4,Diffusion-weighted MR imaging in liver metastases of colorectal cancer: reproducibility and biological validation
Andriy Gnyp,completeness; exponential growth; mathematical optimization; inverse problem; waveform; reproducibility; geology; statistics; cross correlation,2014,Journal,Acta Geophysica,10.2478/s11600-013-0195-0,On reproducibility of relative locations of recurrent earthquakes recovered from similarity of their waveforms at a single station
Seenu M. Hariprasad; William F. Mieler; Daniel F. Kiernan,medical physics; reproducibility; medicine; diabetes mellitus; optics; optical coherence tomography,2010,Journal,American Journal of Ophthalmology,10.1016/j.ajo.2010.04.019,"Variety, Variability and Veracity: Macular Thickness and Reproducibility Among Optical Coherence Tomography Systems"
H. Martin Bücker; Frank Taubert,automation; traceability; database; workflow; artificial intelligence; user interface; software; reproducibility; plug in; computer science; machine learning,2017,Conference,NA,10.1109/BIBM.2017.8217889,On the reproducibility of biological image workflows by annotating computational results automatically
Henry M. Kronenberg; Stavros C. Manolagas,research design; francis; reproducibility; alternative medicine; body of knowledge; medicine; specialty,2014,Journal,Journal of Bone and Mineral Research,10.1002/jbmr.2293,Reproducibility of Results in Preclinical Studies: A Perspective From the Bone Field
Simon Hyttel-Sorensen; Gorm Greisen; Joan Riera; Line C. Sorensen,reproducibility; optics; saturation; dynamic range; radiology; pathology; forearm; medicine,2011,Journal,Biomedical Optics Express,10.1364/BOE.2.003047,"Tissue oximetry: a comparison of mean values of regional tissue saturation, reproducibility and dynamic range of four NIRS-instruments on the human forearm"
Kate H. Kraft; Greg Tasian; Thomas F. Kolon; Stephen A. Zderic; Matthew S. Christman,gynecology; reproducibility; urology; infertility; semen; medicine,2012,Journal,The Journal of Urology,10.1016/j.juro.2012.02.1757,1373 REPRODUCIBILITY OF SEMEN ANALYSES IN THE TRANSITIONING ADOLESCENT AT RISK FOR INFERTILITY
Paolo Guidorzi; Beatriz Bragado; Eric Schoen; Patrick Demizieux; Gottfried Behler; Christ Glorieux; Massimo Garai; Jerome Defrance; Michael Chudalla; Marco Conter,engineering; noise barrier; in situ; repeatability; reproducibility; soundproofing; acoustics; ageing,2014,Journal,Acta Acustica United With Acustica,10.3813/AAA.918797,Repeatability and Reproducibility of In Situ Measurements of Sound Reflection and Airborne Sound Insulation Index of Noise Barriers
Ioan Sporea; Dan Costachescu; Alina Popescu; Roxana Sirli; Simona Bota; Mirela Danila,impulse; acoustic radiation force; medicine; reproducibility; pathology; radiology; elastography; intraclass correlation,2012,Journal,Ultrasound in Medicine and Biology,10.1016/j.ultrasmedbio.2012.02.032,Intra- and Interoperator Reproducibility of Acoustic Radiation Force Impulse (ARFI) Elastography–Preliminary Results
John LoVerde; Wayland Dong,repeatability; acoustics; physics; reproducibility; joist,2011,Journal,Journal of the Acoustical Society of America,10.1121/1.3654436,Repeatability and reproducibility concepts in acoustical laboratories
Sylvia D. Kreibig,social psychology; psychophysiology; reproducibility; developmental psychology; best practice; psychology; cognitive psychology; mobilization,2017,Journal,International Journal of Psychophysiology,10.1016/j.ijpsycho.2017.06.001,"Computational reproducibility of “Goal relevance and goal conduciveness appraisals lead to differential autonomic reactivity in emotional responding to performance feedback” (Kreibig, Gendolla, & Scherer, 2012): A guide and new evidence"
Marco Lupidi; Tito Fiore; Giansanti Fabrizio; Laura Biondi; Daniela Fruttini; Carlo Cagini; Sofia Androudi; Barbara Iaccheri,repeatability; optical coherence tomography; intraclass correlation; analytical chemistry; medicine; reproducibility,2013,Journal,Current Eye Research,10.3109/02713683.2013.781191,Repeatability and Reproducibility of Retinal Thickness Measurements in Diabetic Patients with Spectral Domain Optical Coherence Tomography
Imen Assadi; Sana Bousbiat; Michel Y. Jaffrin,voltage; engineering; contact area; reproducibility; electronic engineering,2015,Journal,Journal of Medical Engineering & Technology,10.3109/03091902.2014.973617,Factors influencing accuracy and reproducibility of body resistance measurements by foot-to-foot impedancemeters
Gianni Bellocchi; Marco Mazzara; Guy Van den Eede; Christian Savini; Marc Van den Bulcke,data mining; repeatability; fuzzy logic; judgement; design of experiments; engineering; reproducibility,2010,Journal,Accreditation and Quality Assurance,10.1007/s00769-010-0690-9,Fuzzy logic-based procedures for GMO analysis
Rick Kazman,scientific method; scrutiny; faith; ontology; holy grail; social science; pace of innovation; artificial intelligence; psychology; reproducibility; incentive,2017,Conference,NA,10.1109/ECASE.2017..18,Musings on the Holy Grail of reproducibility
Francis Delpeuch; Edwige Landais; Agnès Gartner; Michelle Holdsworth; Fiona McCullough; A. Bour,physical therapy; medicine; reproducibility; cohen s kappa; correlation coefficient; wilcoxon signed rank test; intraclass correlation; statistics; food frequency questionnaire; relative validity,2014,Journal,Journal of Human Nutrition and Dietetics,10.1111/jhn.12131,Reproducibility and relative validity of a brief quantitative food frequency questionnaire for assessing fruit and vegetable intakes in North-African women
Simon Hyttel-Sorensen; Gorm Greisen; T Witzner Hessel,standard deviation; reproducibility; diabetes mellitus; statistics; surgery; medicine,2012,Journal,Archives of Disease in Childhood,10.1136/archdischild-2012-302724.0975,"975 Peripheral Tissue Nirs Oximetry: Reproducibility and Dynamic Range of Invos 5100C, Nonin Equanox, and Fore-Sight"
