AuthorIdsOrder,PaperId,namePart.1,namePart.2,namePart.3,namePart.4,Year2,authorOrder,min_years,max_years,proportion_male.x,proportion_female.x,gender.x,year_max.x,proportion_male.y,proportion_female.y,gender.y,year_max.y,proportion_male,proportion_female,gender,year_max,temp2,temp1,temp0,femaleProb0,femaleProb,genderLabel
2303040408,2570760970,Marcus,R.,Munafò,NA,1972,1,1952,1992,0.9908,0.0092,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0092,NA,0.0092,0
2035509708,2092915918,Krzysztof,Sychta,NA,NA,1968,1,1948,1988,1,0,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2030571253,1995638734,Francesco,Faita,NA,NA,1965,1,1945,1985,1,0,male,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2705501177,1889011842,Damien,Irving,NA,NA,1971,1,1951,1991,0.988,0.012,male,1991,1,0,male,1991,NA,NA,NA,NA,NA,NA,0.012,NA,0.012,0
2109189676,2001921709,Emese,Vágó,NA,NA,1966,1,1946,1986,0,1,female,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
2583612443,2512700723,G.,Gennaro,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,1,0,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986964308,1499994443,Tom,Burr,NA,NA,1970,1,1950,1990,0.9976,0.0024,male,1990,1,0,male,1990,NA,NA,NA,NA,NA,NA,0.0024,NA,0.0024,0
2209011665,1966267050,Lene,Juel,Kjeldsen,NA,1969,1,1949,1989,0,1,female,1989,0.3707,0.6293,female,1989,NA,NA,NA,NA,NA,0.6293,1,0.6293,1,1
2226982098,2525744919,Zongyi,Chen,NA,NA,1971,1,1951,1991,NA,NA,NA,NA,0.8682,0.1318,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2487728797,1989015420,R.,Dolin,NA,NA,1968,1,1948,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2098065541,2581287169,Hanno,Rein,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,1,0,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2477545045,1999374172,Michael,J.,Haas,NA,1969,1,1949,1989,0.9944,0.0056,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0056,NA,0.0056,0
2096956017,2013452104,O.,Perron,NA,NA,1965,1,1945,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238261490,1983189397,Laura,Deldossi,NA,NA,1969,1,1949,1989,0.0031,0.9969,female,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9969,NA,0.9969,1
2525448431,2317138976,Yutaka,Matsushita,NA,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2642195012,2533421756,J.,Michael,Peterson,NA,1965,1,1945,1985,NA,NA,NA,NA,0.9947,0.0053,male,1985,1,0,male,1985,NA,0.0053,NA,0.0053,0.0053,0
2075636696,2068771131,Roy,Macarthur,NA,NA,1967,1,1947,1987,0.9935,0.0065,male,1987,1,0,male,1987,NA,NA,NA,NA,NA,NA,0.0065,NA,0.0065,0
1857335577,2046501015,Helen,G.,Gika,NA,1967,1,1947,1987,0.0031,0.9969,female,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9969,NA,0.9969,1
2361959509,2034592256,Robert,M,Frederickson,NA,1969,1,1949,1989,0.9954,0.0046,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046,NA,0.0046,0
2646855740,2058801124,Dang,Hong-Tao,NA,NA,1968,1,1948,1988,0.9424,0.0576,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0576,NA,0.0576,0
2617471210,2053801961,Amit,Arvind,Agrawal,NA,1966,1,1946,1986,0.9959,0.0041,male,1986,1,0,male,1986,NA,NA,NA,NA,NA,0,0.0041,0,0.0041,0
2770048246,2769101592,Qunhua,Li,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,0.1013,0.8987,female,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2157458771,2047712917,Atsushi,Fukami,NA,NA,1965,1,1945,1985,1,0,male,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2006344564,2021871054,Arta,M.,Monjazeb,NA,1967,1,1947,1987,0,1,female,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
2120737773,1971429923,Benjamin,M.,Shafer,NA,1970,1,1950,1990,0.9944,0.0056,male,1990,NA,NA,NA,NA,1,0,male,1990,NA,NA,0.0056,NA,0.0056,0
1975064185,2466454228,Oswald,Steward,NA,NA,1971,1,1951,1991,1,0,male,1991,1,0,male,1991,NA,NA,NA,NA,NA,NA,0,NA,0,0
2015331196,2410998355,Nathan,Blow,NA,NA,1969,1,1949,1989,0.994,0.006,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,NA,0.006,0
2100463549,2087499374,Keith,S.,Cover,NA,1968,1,1948,1988,0.9946,0.0054,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054,NA,0.0054,0
2702655579,1967645200,Xiaomu,Song,NA,NA,1969,1,1949,1989,NA,NA,NA,NA,0.3203,0.6797,female,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2231110646,2079814725,Chiung-Hung,Chiang,NA,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2624732392,2034494887,Nils,Johansson,NA,NA,1970,1,1950,1990,1,0,male,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
